"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Iowa","19","2013","2013",125,3090416,4.0,4.3
,"Iowa","19","2014","2014",93,3107126,3.0,3.1
,"Iowa","19","2015","2015",92,3123899,2.9,3.1
,"Iowa","19","2016","2016",92,3134693,2.9,3.1
,"Iowa","19","2017","2017",104,3145711,3.3,3.4
,"Iowa","19","2018","2018",64,3156145,2.0,2.1
,"Iowa","19","2019","2019",60,3155070,1.9,2.0
,"Iowa","19","2020","2020",64,3163561,2.0,2.2
,"Kansas","20","1999","1999",14,2678338,Unreliable,Unreliable
,"Kansas","20","2000","2000",13,2688418,Unreliable,Unreliable
,"Kansas","20","2001","2001",31,2702162,1.1,1.2
,"Kansas","20","2002","2002",60,2713535,2.2,2.3
,"Kansas","20","2003","2003",59,2723004,2.2,2.3
,"Kansas","20","2004","2004",87,2734373,3.2,3.3
,"Kansas","20","2005","2005",91,2745299,3.3,3.5
,"Kansas","20","2006","2006",98,2762931,3.5,3.7
,"Kansas","20","2007","2007",101,2783785,3.6,3.8
,"Kansas","20","2008","2008",69,2808076,2.5,2.5
,"Kansas","20","2009","2009",102,2832704,3.6,3.8
,"Kansas","20","2010","2010",76,2853118,2.7,2.7
,"Kansas","20","2011","2011",92,2871238,3.2,3.4
,"Kansas","20","2012","2012",118,2885905,4.1,4.3
,"Kansas","20","2013","2013",115,2893957,4.0,4.2
,"Kansas","20","2014","2014",122,2904021,4.2,4.2
,"Kansas","20","2015","2015",97,2911641,3.3,3.5
,"Kansas","20","2016","2016",90,2907289,3.1,3.0
,"Kansas","20","2017","2017",89,2913123,3.1,3.1
,"Kansas","20","2018","2018",87,2911505,3.0,3.2
,"Kansas","20","2019","2019",85,2913314,2.9,3.0
,"Kansas","20","2020","2020",82,2913805,2.8,3.0
,"Kentucky","21","1999","1999",40,4018053,1.0,1.0
,"Kentucky","21","2000","2000",72,4041769,1.8,1.8
,"Kentucky","21","2001","2001",117,4068132,2.9,2.8
,"Kentucky","21","2002","2002",140,4089875,3.4,3.5
,"Kentucky","21","2003","2003",196,4117170,4.8,4.8
,"Kentucky","21","2004","2004",188,4146101,4.5,4.6
,"Kentucky","21","2005","2005",251,4182742,6.0,6.0
,"Kentucky","21","2006","2006",280,4219239,6.6,6.7
,"Kentucky","21","2007","2007",299,4256672,7.0,7.1
,"Kentucky","21","2008","2008",321,4289878,7.5,7.7
,"Kentucky","21","2009","2009",349,4317074,8.1,8.2
,"Kentucky","21","2010","2010",501,4339367,11.5,11.9
,"Kentucky","21","2011","2011",523,4369356,12.0,12.4
,"Kentucky","21","2012","2012",450,4380415,10.3,10.4
,"Kentucky","21","2013","2013",398,4395295,9.1,9.1
,"Kentucky","21","2014","2014",380,4413457,8.6,8.6
,"Kentucky","21","2015","2015",424,4425092,9.6,9.9
,"Kentucky","21","2016","2016",429,4436974,9.7,10.0
,"Kentucky","21","2017","2017",433,4454189,9.7,10.2
,"Kentucky","21","2018","2018",315,4468402,7.0,7.2
,"Kentucky","21","2019","2019",345,4467673,7.7,7.8
,"Kentucky","21","2020","2020",466,4477251,10.4,10.8
,"Louisiana","22","1999","1999",14,4460811,Unreliable,Unreliable
,"Louisiana","22","2000","2000",28,4468976,0.6,0.6
,"Louisiana","22","2001","2001",59,4477875,1.3,1.3
,"Louisiana","22","2002","2002",71,4497267,1.6,1.6
,"Louisiana","22","2003","2003",98,4521042,2.2,2.2
